Timings;Voltage [V];Current Corrected [A] ;Power [W];Status;;;;;;
00:00:59;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:01:00;5;2,00E-01;1,00E+00;At Work (In the Office);;;;;;
00:01:01;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:02;5;2,14E-01;1,07E+00;At Work (In the Office);;;;;;
00:01:03;5;2,24E-01;1,12E+00;At Work (In the Office);;;;;;
00:01:04;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:05;5;2,17E-01;1,09E+00;At Work (In the Office);;;;;;
00:01:06;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:07;5;2,05E-01;1,03E+00;At Work (In the Office);;;;;;
00:01:08;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:09;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:10;5;2,30E-01;1,15E+00;At Work (In the Office);;;;;;
00:01:11;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:01:12;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:13;5;2,18E-01;1,09E+00;At Work (In the Office);;;;;;
00:01:14;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:15;5;2,48E-01;1,24E+00;At Work (In the Office);;;;;;
00:01:16;5;2,02E-01;1,01E+00;At Work (In the Office);;;;;;
00:01:17;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:18;5;2,30E-01;1,15E+00;At Work (In the Office);;;;;;
00:01:19;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:20;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:21;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:01:22;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:23;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:01:24;5;1,96E-01;9,80E-01;At Work (In the Office);;;;;;
00:01:25;5;1,96E-01;9,80E-01;At Work (In the Office);;;;;;
00:01:26;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:01:27;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:28;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:01:29;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:30;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:31;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:01:32;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:33;5;2,20E-01;1,10E+00;At Work (In the Office);;;;;;
00:01:34;5;2,29E-01;1,15E+00;At Work (In the Office);;;;;;
00:01:35;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:36;5;2,12E-01;1,06E+00;At Work (In the Office);;;;;;
00:01:37;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:38;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:39;5;2,06E-01;1,03E+00;At Work (In the Office);;;;;;
00:01:40;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:41;5;2,03E-01;1,02E+00;At Work (In the Office);;;;;;
00:01:42;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:43;5;2,02E-01;1,01E+00;At Work (In the Office);;;;;;
00:01:44;5;1,96E-01;9,80E-01;At Work (In the Office);;;;;;
00:01:45;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:46;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:47;5;2,11E-01;1,06E+00;At Work (In the Office);;;;;;
00:01:48;5;2,34E-01;1,17E+00;At Work (In the Office);;;;;;
00:01:49;5;2,27E-01;1,14E+00;At Work (In the Office);;;;;;
00:01:50;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:51;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:01:52;5;2,50E-01;1,25E+00;At Work (In the Office);;;;;;
00:01:53;5;1,97E-01;9,85E-01;At Work (In the Office);;;;;;
00:01:54;5;1,96E-01;9,80E-01;At Work (In the Office);;;;;;
00:01:55;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:01:56;5;1,97E-01;9,85E-01;At Work (In the Office);;;;;;
00:01:57;5;2,07E-01;1,04E+00;At Work (In the Office);;;;;;
00:01:58;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:01:59;5;2,08E-01;1,04E+00;At Work (In the Office);;;;;;
00:02:00;5;2,36E-01;1,18E+00;At Work (In the Office);;;;;;
00:02:01;5;1,96E-01;9,80E-01;At Work (In the Office);;;;;;
00:02:02;5;2,11E-01;1,06E+00;At Work (In the Office);;;;;;
00:02:03;5;2,26E-01;1,13E+00;At Work (In the Office);;;;;;
00:02:04;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:02:05;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:02:06;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:02:07;5;2,02E-01;1,01E+00;At Work (In the Office);;;;;;
00:02:08;5;2,29E-01;1,15E+00;At Work (In the Office);;;;;;
00:02:09;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:02:10;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:02:11;5;1,97E-01;9,85E-01;At Work (In the Office);;;;;;
00:02:12;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:02:13;5;2,07E-01;1,04E+00;At Work (In the Office);;;;;;
00:02:14;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:02:15;5;2,00E-01;1,00E+00;At Work (In the Office);;;;;;
00:02:16;5;2,29E-01;1,15E+00;At Work (In the Office);;;;;;
00:02:17;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:02:18;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:02:19;5;2,17E-01;1,09E+00;At Work (In the Office);;;;;;
00:02:20;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:02:21;5;2,14E-01;1,07E+00;At Work (In the Office);;;;;;
00:02:22;5;2,00E-01;1,00E+00;At Work (In the Office);;;;;;
00:02:23;5;2,11E-01;1,06E+00;At Work (In the Office);;;;;;
00:02:24;5;2,03E-01;1,02E+00;At Work (In the Office);;;;;;
00:02:25;5;1,97E-01;9,85E-01;At Work (In the Office);;;;;;
00:02:26;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:02:27;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:02:28;5;2,02E-01;1,01E+00;At Work (In the Office);;;;;;
00:02:29;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:02:30;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:02:31;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:02:32;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:02:33;5;2,31E-01;1,16E+00;At Work (Not in the office) Bluetooth;;;;;;
00:02:34;5;2,62E-01;1,31E+00;At Work (Not in the office) Bluetooth;;;;;;
00:02:35;5;2,01E-01;1,01E+00;At Work (Not in the office) Bluetooth;;;;;;
00:02:36;5;2,13E-01;1,07E+00;At Work (Not in the office) Bluetooth;;;;;;
00:02:37;5;2,04E-01;1,02E+00;At Work (Not in the office) Bluetooth;;;;;;
00:02:38;5;2,66E-01;1,33E+00;At Work (Not in the office) Bluetooth;;;;;;
00:02:39;5;2,38E-01;1,19E+00;At Work (Not in the office) ;;;;;;
00:02:40;5;2,05E-01;1,03E+00;At Work (Not in the office) ;;;;;;
00:02:41;5;2,00E-01;1,00E+00;At Work (Not in the office) ;;;;;;
00:02:42;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:02:43;5;2,02E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:02:44;5;2,07E-01;1,04E+00;At Work (Not in the office) ;;;;;;
00:02:45;5;1,97E-01;9,85E-01;At Work (Not in the office) ;;;;;;
00:02:46;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:02:47;5;2,07E-01;1,04E+00;At Work (Not in the office) ;;;;;;
00:02:48;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:02:49;5;2,04E-01;1,02E+00;At Work (Not in the office) ;;;;;;
00:02:50;5;1,97E-01;9,85E-01;At Work (Not in the office) ;;;;;;
00:02:51;5;2,30E-01;1,15E+00;At Work (Not in the office) ;;;;;;
00:02:52;5;1,96E-01;9,80E-01;At Work (Not in the office) ;;;;;;
00:02:53;5;2,33E-01;1,17E+00;At Work (Not in the office) ;;;;;;
00:02:54;5;1,94E-01;9,70E-01;At Work (Not in the office) ;;;;;;
00:02:55;5;2,17E-01;1,09E+00;At Work (Not in the office) ;;;;;;
00:02:56;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:02:57;5;2,09E-01;1,05E+00;At Work (Not in the office) ;;;;;;
00:02:58;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:02:59;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:03:00;5;2,07E-01;1,04E+00;At Work (Not in the office) ;;;;;;
00:03:01;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:03:02;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:03;5;2,00E-01;1,00E+00;At Work (Not in the office) ;;;;;;
00:03:04;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:03:05;5;2,06E-01;1,03E+00;At Work (Not in the office) ;;;;;;
00:03:06;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:03:07;5;1,97E-01;9,85E-01;At Work (Not in the office) ;;;;;;
00:03:08;5;2,05E-01;1,03E+00;At Work (Not in the office) ;;;;;;
00:03:09;5;1,96E-01;9,80E-01;At Work (Not in the office) ;;;;;;
00:03:10;5;2,13E-01;1,07E+00;At Work (Not in the office) ;;;;;;
00:03:11;5;1,94E-01;9,70E-01;At Work (Not in the office) ;;;;;;
00:03:12;5;2,18E-01;1,09E+00;At Work (Not in the office) ;;;;;;
00:03:13;5;2,30E-01;1,15E+00;At Work (Not in the office) ;;;;;;
00:03:14;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:15;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:16;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:17;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:18;5;2,12E-01;1,06E+00;At Work (Not in the office) ;;;;;;
00:03:19;5;2,03E-01;1,02E+00;At Work (Not in the office) ;;;;;;
00:03:20;5;2,15E-01;1,08E+00;At Work (Not in the office) ;;;;;;
00:03:21;5;2,13E-01;1,07E+00;At Work (Not in the office) ;;;;;;
00:03:22;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:23;5;2,00E-01;1,00E+00;At Work (Not in the office) ;;;;;;
00:03:24;5;2,04E-01;1,02E+00;At Work (Not in the office) ;;;;;;
00:03:25;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:03:26;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:03:27;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:28;5;2,31E-01;1,16E+00;At Work (Not in the office) ;;;;;;
00:03:29;5;2,13E-01;1,07E+00;At Work (Not in the office) ;;;;;;
00:03:30;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:03:31;5;2,16E-01;1,08E+00;At Work (Not in the office) ;;;;;;
00:03:32;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:33;5;2,00E-01;1,00E+00;At Work (Not in the office) ;;;;;;
00:03:34;5;2,09E-01;1,05E+00;At Work (Not in the office) ;;;;;;
00:03:35;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:03:36;5;2,03E-01;1,02E+00;At Work (Not in the office) ;;;;;;
00:03:37;5;1,97E-01;9,85E-01;At Work (Not in the office) ;;;;;;
00:03:38;5;2,03E-01;1,02E+00;At Work (Not in the office) ;;;;;;
00:03:39;5;2,39E-01;1,20E+00;At Work (Not in the office) ;;;;;;
00:03:40;5;2,28E-01;1,14E+00;At Work (Not in the office) ;;;;;;
00:03:41;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:42;5;2,04E-01;1,02E+00;At Work (Not in the office) ;;;;;;
00:03:43;5;1,99E-01;9,95E-01;At Work (Not in the office) ;;;;;;
00:03:44;5;2,14E-01;1,07E+00;At Work (Not in the office) ;;;;;;
00:03:45;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:03:46;5;2,19E-01;1,10E+00;At Work (Not in the office) ;;;;;;
00:03:47;5;2,07E-01;1,04E+00;At Work (Not in the office) ;;;;;;
00:03:48;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:49;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:03:50;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:51;5;2,22E-01;1,11E+00;At Work (Not in the office) ;;;;;;
00:03:52;5;2,06E-01;1,03E+00;At Work (Not in the office) ;;;;;;
00:03:53;5;1,97E-01;9,85E-01;At Work (Not in the office) ;;;;;;
00:03:54;5;1,99E-01;9,95E-01;At Work (Not in the office) ;;;;;;
00:03:55;5;2,34E-01;1,17E+00;At Work (Not in the office) ;;;;;;
00:03:56;5;2,52E-01;1,26E+00;At Work (Not in the office) ;;;;;;
00:03:57;5;2,05E-01;1,03E+00;At Work (Not in the office) ;;;;;;
00:03:58;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:03:59;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:04:00;5;2,00E-01;1,00E+00;At Work (Not in the office) ;;;;;;
00:04:01;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:04:02;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:04:03;5;2,06E-01;1,03E+00;At Work (Not in the office) ;;;;;;
00:04:04;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:04:05;5;2,07E-01;1,04E+00;At Work (Not in the office) ;;;;;;
00:04:06;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:04:07;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:04:08;5;2,10E-01;1,05E+00;At Work (Not in the office) ;;;;;;
00:04:09;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:04:10;5;2,05E-01;1,03E+00;At Work (Not in the office) ;;;;;;
00:04:11;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:04:12;5;1,99E-01;9,95E-01;At Work (Not in the office) ;;;;;;
00:04:13;5;2,02E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:04:14;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:04:15;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:04:16;5;2,08E-01;1,04E+00;At Work (Not in the office) ;;;;;;
00:04:17;5;2,03E-01;1,02E+00;At Work (Not in the office) ;;;;;;
00:04:18;5;2,10E-01;1,05E+00;At Work (Not in the office) ;;;;;;
00:04:19;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:04:20;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:04:21;5;1,99E-01;9,95E-01;At Work (Not in the office) ;;;;;;
00:04:22;5;2,00E-01;1,00E+00;At Work (Not in the office) ;;;;;;
00:04:23;5;1,96E-01;9,80E-01;At Work (Not in the office) ;;;;;;
00:04:24;5;2,31E-01;1,16E+00;At Work (Not in the office) ;;;;;;
00:04:25;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:04:26;5;2,07E-01;1,04E+00;At Work (Not in the office) ;;;;;;
00:04:27;5;2,02E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:04:28;5;2,29E-01;1,15E+00;At Work (Not in the office) ;;;;;;
00:04:29;5;2,10E-01;1,05E+00;At Work (Not in the office) ;;;;;;
00:04:30;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:04:31;5;2,00E-01;1,00E+00;At Work (Not in the office) ;;;;;;
00:04:32;5;2,18E-01;1,09E+00;At Work (Not in the office) ;;;;;;
00:04:33;5;1,95E-01;9,75E-01;At Work (Not in the office) ;;;;;;
00:04:34;5;1,98E-01;9,90E-01;At Work (Not in the office) ;;;;;;
00:04:35;5;2,02E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:04:36;5;1,96E-01;9,80E-01;At Work (Not in the office) ;;;;;;
00:04:37;5;2,12E-01;1,06E+00;At Work (Not in the office) ;;;;;;
00:04:38;5;1,96E-01;9,80E-01;At Work (Not in the office) ;;;;;;
00:04:39;5;2,24E-01;1,12E+00;At Work (Not in the office) ;;;;;;
00:04:40;5;2,56E-01;1,28E+00;At Work (Not in the office) ;;;;;;
00:04:41;5;2,17E-01;1,09E+00;At Work (Not in the office) ;;;;;;
00:04:42;5;2,13E-01;1,07E+00;At Work (Not in the office) ;;;;;;
00:04:43;5;1,96E-01;9,80E-01;At Work (Not in the office) ;;;;;;
00:04:44;5;2,00E-01;1,00E+00;At Work (Not in the office) ;;;;;;
00:04:45;5;1,99E-01;9,95E-01;At Work (Not in the office) ;;;;;;
00:04:46;5;2,01E-01;1,01E+00;At Work (Not in the office) ;;;;;;
00:04:47;5;2,32E-01;1,16E+00;At Work (In the Office);;;;;;
00:04:48;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:04:49;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:04:50;5;2,05E-01;1,03E+00;At Work (In the Office);;;;;;
00:04:51;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:04:52;5;2,09E-01;1,05E+00;At Work (In the Office);;;;;;
00:04:53;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:04:54;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:04:55;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:04:56;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:04:57;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:04:58;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:04:59;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:05:00;5;2,43E-01;1,22E+00;At Work (In the Office);;;;;;
00:05:01;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:02;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:05:03;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:05:04;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:05;5;2,04E-01;1,02E+00;At Work (In the Office);;;;;;
00:05:06;5;2,16E-01;1,08E+00;At Work (In the Office);;;;;;
00:05:07;5;2,28E-01;1,14E+00;At Work (In the Office);;;;;;
00:05:08;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:09;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:05:10;5;1,97E-01;9,85E-01;At Work (In the Office);;;;;;
00:05:11;5;2,05E-01;1,03E+00;At Work (In the Office);;;;;;
00:05:12;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:05:13;5;2,21E-01;1,11E+00;At Work (In the Office);;;;;;
00:05:14;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:05:15;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:16;5;2,15E-01;1,08E+00;At Work (In the Office);;;;;;
00:05:17;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:05:18;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:05:19;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:05:20;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:21;5;2,46E-01;1,23E+00;At Work (In the Office);;;;;;
00:05:22;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:05:23;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:05:24;5;2,07E-01;1,04E+00;At Work (In the Office);;;;;;
00:05:25;5;2,22E-01;1,11E+00;At Work (In the Office);;;;;;
00:05:26;5;2,07E-01;1,04E+00;At Work (In the Office);;;;;;
00:05:27;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:05:28;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:29;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:05:30;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:31;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:32;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:33;5;2,13E-01;1,07E+00;At Work (In the Office);;;;;;
00:05:34;5;2,12E-01;1,06E+00;At Work (In the Office);;;;;;
00:05:35;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:36;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:37;5;2,11E-01;1,06E+00;At Work (In the Office);;;;;;
00:05:38;5;2,00E-01;1,00E+00;At Work (In the Office);;;;;;
00:05:39;5;2,04E-01;1,02E+00;At Work (In the Office);;;;;;
00:05:40;5;2,47E-01;1,24E+00;At Work (In the Office);;;;;;
00:05:41;5;2,32E-01;1,16E+00;At Work (In the Office);;;;;;
00:05:42;5;2,21E-01;1,11E+00;At Work (In the Office);;;;;;
00:05:43;5;2,09E-01;1,05E+00;At Work (In the Office);;;;;;
00:05:44;5;2,25E-01;1,13E+00;At Work (In the Office);;;;;;
00:05:45;5;2,08E-01;1,04E+00;At Work (In the Office);;;;;;
00:05:46;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:05:47;5;2,25E-01;1,13E+00;At Work (In the Office);;;;;;
00:05:48;5;1,97E-01;9,85E-01;At Work (In the Office);;;;;;
00:05:49;5;1,99E-01;9,95E-01;At Work (In the Office);;;;;;
00:05:50;5;2,10E-01;1,05E+00;At Work (In the Office);;;;;;
00:05:51;5;1,95E-01;9,75E-01;At Work (In the Office);;;;;;
00:05:52;5;2,04E-01;1,02E+00;At Work (In the Office);;;;;;
00:05:53;5;1,94E-01;9,70E-01;At Work (In the Office);;;;;;
00:05:54;5;2,01E-01;1,01E+00;At Work (In the Office);;;;;;
00:05:55;5;2,31E-01;1,16E+00;At Work (In the Office);;;;;;
00:05:56;5;1,97E-01;9,85E-01;At Work (In the Office);;;;;;
00:05:57;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:05:58;5;2,07E-01;1,04E+00;At Work (In the Office);;;;;;
00:05:59;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:06:00;5;2,07E-01;1,04E+00;At Work (In the Office);;;;;;
00:06:01;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:06:02;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
00:06:03;5;2,32E-01;1,16E+00;At Work (In the Office);;;;;;
00:06:04;5;1,98E-01;9,90E-01;At Work (In the Office);;;;;;
